store_id,name,genre,subgenre
com.dotemu.rtype,"R-TYPE","Arcade",TBD
com.LinkedSquad.SchoolBoyRunaway,"SCHOOLBOY RUNAWAY - STEALTH","Arcade",TBD
com.sled.surfers.game,"Sled Surfers","Arcade",TBD
io.supercent.linkedcubic,"Snake Clash!","Arcade",TBD
jp.co.taito.am.spaceinvaders,"Space Invaders","Arcade",TBD
com.CrazyGames.SpaceWaves,"Space Waves","Arcade",TBD
com.kiloo.subwaysurf,"Subway Surfers","Arcade",TBD
com.flukedude.impossiblegame,"The Impossible Game","Arcade",TBD
games.vaveda.militaryoverturn,"Tower War - Tactical Conquest","Arcade",TBD
com.gergedan.trapgame,"Trap Master - Squish Enemies","Arcade",TBD
com.nekki.vector.paid,"Vector Classic","Arcade",TBD
org.devmiyax.yabasanshioro2.pro,"YabaSanshiro 2 Pro","Arcade",TBD
com.direwolfdigital.arknova,"Ark Nova","Board",TBD
com.marmalade.battleship,"Battleship: The Board Game","Board",TBD
com.gm11.bingocraze,"Bingo Aloha-Bingo Live at home","Board",TBD
air.com.bitrhymes.bingo,"Bingo Bash: Live Bingo Games","Board",TBD
air.com.buffalo_studios.newflashbingo,"Bingo Blitz™️ - Bingo Games","Board",TBD
com.cooking.bingo.ldkwh,"Bingo Frenzy™-Live Bingo Games","Board",TBD
com.bingo.cruise.free.best.top.game,"Bingo Voyage - Live Bingo Game","Board",TBD
com.asmodeedigital.carcassonne,"Carcassonne: Tiles & Tactics","Board",TBD
com.direwolfdigital.cascadia,"Cascadia Digital","Board",TBD
com.chess,"Chess - Play and Learn Online","Board",TBD
com.direwolfdigital.clank,"Clank!","Board",TBD
com.marmalade.cluedogame,"Clue: Classic Edition","Board",TBD
com.marmalade.cluedo2,"Clue: Official Hasbro Game","Board",TBD
com.tfgco.apps.coloring.free.color.by.number,"Color by Number：Coloring Games","Board",TBD
com.direwolfdigital.dune,"Dune: Imperium Digital","Board",TBD
com.themeborne.etdc_companion,"Escape the Dark Castle","Board",TBD
com.direwolfdigital.everdell,"Everdell","Board",TBD
com.marmalade.explodingkittens,"Exploding Kittens® 2","Board",TBD
com.funcraft.farkle,"Farkle Dice Roll","Board",TBD
com.vanrydergames.FinalGirlApp,"Final Girl Companion","Board",TBD
com.pixel.art.coloring.color.number,"Happy Color®: Color by Number","Board",TBD
com.wonderful.mahjong,"Jade Mahjong","Board",TBD
com.meeplecorp.kingdomino,"Kingdomino - The Board Game","Board",TBD
com.nebula.mahjongtile,"Mahjong Wonders™","Board",TBD
com.marmalade.monopoly,"MONOPOLY","Board",TBD
com.scopely.monopolygo,"MONOPOLY GO!","Board",TBD
com.clipwiregames.monopolybingo,"MONOPOLY: Bingo!","Board",TBD
com.qplay.outsmarted,"Outsmarted!","Board",TBD
com.direwolfdigital.root,"Root Board Game","Board",TBD
techmasterplus.sudokupuzzlepro,"Sudoku Ultimate Offline puzzle","Board",TBD
com.marmalade.gol2,"The Game of Life 2","Board",TBD
com.czechgames.tta,"Through the Ages","Board",TBD
com.marmalade.tickettoride,"Ticket to Ride®","Board",TBD
com.godlike.vigormahjong,"Vigor Mahjong","Board",TBD
com.vitastudio.mahjong,"Vita Mahjong","Board",TBD
com.MonsterCouch.Wingspan,"Wingspan: The Board Game","Board",TBD
com.scopely.yux,"Yahtzee® With Buddies Dice Fun","Board",TBD
com.yalla.yallagames,"Yalla Ludo - Ludo&Jackaroo","Board",TBD
com.playstack.balatro.android,"Balatro","Card",Card Game
com.fullersystems.cribbage.online,"Cribbage Pro Online!","Card",Card Game
com.playdigious.cultist,"Cultist Simulator","Card",Card Game
com.solitairecard.relaxgame.classiccard,"Daily Classic Solitaire","Card",Solitaire
games.WanderlostInteractive.Dawncaster,"Dawncaster: Deckbuilding RPG","Card",Card Game
com.superplaystudios.disneysolitairedreams,"Disney Solitaire","Card",Solitaire
com.explodingkittens.projectbombsquad,"Exploding Kittens®","Card",Card Game
com.trampolinetales.lbal,"Luck be a Landlord","Card",Card Game
com.wizards.mtga,"Magic: The Gathering Arena","Card",Card Game
com.direwolfdigital.munchkin,"Munchkin","Card",Card Game
com.mattel163.phase10,"Phase 10: Casual Card Game","Card",Card Game
com.piratesoutlaws.fabledgame,"Pirates Outlaws","Card",Card Game
jp.pokemon.pokemontcgp,"Pokémon TCG Pocket","Card",Card Game
com.devolver.reigns,"Reigns","Card",Card Game
com.humble.SlayTheSpire,"Slay the Spire","Card",Card Game
com.smilerlee.klondike,"Solitaire","Card",Solitaire
solitaire.patience.card.games.klondike.free,"Solitaire - Classic Card Games","Card",Solitaire
net.supertreat.solitaire,"Solitaire Grand Harvest","Card",Solitaire
net.peakgames.mobile.spades.android,"Spades Plus - Card Game","Card",Card Game
com.gsn.android.tripeaks,"Tiki Solitaire TriPeaks","Card",Solitaire
com.matteljv.uno,"UNO!™","Card",Card Game
com.playtika.wsop.gp,"WSOP Poker Texas Holdem Game","Card",Poker
com.zynga.livepoker,"Zynga Poker- Texas Holdem Game","Card",Poker
com.ballytechnologies.f88,"88 Fortunes Casino Slot Games","Casino",TBD
com.selfawaregames.acecasino,"Big Fish Casino - Slots Games","Casino",TBD
com.huuuge.casino.texas,"Billionaire Casino Slots 777","Casino",TBD
com.trainer.bja,"BJA: Card Counting Trainer Pro","Casino",TBD
com.playtika.caesarscasino,"Caesars Slots: Casino Games","Casino",TBD
com.unicornstudio.cashparty.slots.casino.vegas.free,"Cash Club Casino - Vegas Slots","Casino",TBD
slots.pcg.casino.games.free.android,"Cash Frenzy™ - Casino Slots","Casino",TBD
com.topultragame.slotlasvega,"Cash Tornado™ Slots - Casino","Casino",TBD
com.productmadness.cashmancasino,"Cashman Casino Slots Games","Casino",TBD
com.bagelcode.slots1,"Club Vegas Casino Slots Games","Casino",TBD
com.ddi,"DoubleDown Casino Vegas Slots","Casino",TBD
com.doubleugames.DoubleUCasino,"DoubleU Casino™ - Vegas Slots","Casino",TBD
com.zynga.gotslots,"Game of Thrones Slots Casino","Casino",TBD
com.platogo.gmp,"Gaminator Casino Slots Games","Casino",TBD
com.williamsinteractive.goldfish,"Gold Fish Casino Slot Games","Casino",TBD
com.zynga.hititrich,"Hit it Rich! Casino Slots Game","Casino",TBD
com.pacificinteractive.HouseOfFun,"House of Fun™ - Casino Slots","Casino",TBD
com.huuuge.casino.slots,"Huuuge Casino Slots Games 777","Casino",TBD
slots.dcg.casino.games.free.android,"Jackpot Crush Casino Slots","Casino",TBD
com.bigfishgames.jackpotcityslotsf2pgoogle,"Jackpot Magic - Casino Slots","Casino",TBD
com.jmsgame.jackpotmastercasino,"Jackpot Master™ Slots - Casino","Casino",TBD
com.williamsinteractive.jackpotparty,"Jackpot Party Casino Slots","Casino",TBD
com.funtriolimited.slots.casino.free,"Jackpot Wins - Slots Casino","Casino",TBD
com.grandegames.slots.dafu.casino,"Jackpot World™ - Slots Casino","Casino",TBD
com.slots.free.vegas.casino.jackpotland,"Jackpotland-Vegas Casino Slots","Casino",TBD
com.productmadness.lightninglink,"Lightning Link Casino Slots","Casino",TBD
com.diamondlife.slots.vegas.free,"Lotsa Slots - Casino Games","Casino",TBD
com.productmadness.fafafagold,"Mighty Fu Casino Slots Games","Casino",TBD
com.scientificgames.monopolyslots,"MONOPOLY Slots - Casino Games","Casino",TBD
com.playstudios.mykonami,"myKONAMI® Casino Slot Machines","Casino",TBD
com.playstudios.myvegas,"myVEGAS Slots","Casino",TBD
com.playstudios.popslots,"POP! Slots™","Casino",TBD
com.ballytechnologies.quickhitslots,"Quick Hit Casino Slots Games","Casino",TBD
air.com.playtika.slotomania,"Slotomania™ Slots Casino Games","Casino",TBD
com.platogo.pmp,"Slotpark Casino Slots Games","Casino",TBD
com.productmadness.hovmobile,"Slots: Heart of Vegas Casino","Casino",TBD
com.zynga.wizardofoz,"Wizard of Oz Slots Games","Casino",TBD
com.headupgames.agadah,"A Game About Digging A Hole™","Casual",TBD
com.rovio.baba,"Angry Birds 2","Casual",TBD
com.red.arrows.android,"Arrowscapes – Arrows Puzzle","Casual",TBD
com.kayac.ball_run,"Ball Run 2048: merge number","Casual",TBD
com.budgestudios.googleplay.BlueyBLU,"Bluey: Let's Play!","Casual",TBD
com.Garawell.BridgeRace,"Bridge Race","Casual",TBD
com.Polystation.BuildABabe,"Build A Queen","Casual",TBD
com.foursgames.camouflagesniper,"Camo Sniper","Casual",TBD
com.king.candycrushsaga,"Candy Crush Saga","Casual",TBD
com.king.candycrushsodasaga,"Candy Crush Soda Saga","Casual",TBD
com.moonactive.coinmaster,"Coin Master","Casual",TBD
com.moonactive.cmboard,"Coin Master - Board Adventure","Casual",TBD
com.oakever.coloraura,"Color Aura: Paint by number","Casual",TBD
com.gworld.crazyspin,"Crazy Fox","Casual",TBD
com.superplaystudios.dicedreams,"Dice Dreams™️","Casual",TBD
gg.sunday.dog.escape.puzzle,"Dog Escape","Casual",TBD
com.MelsoftGames.FamilyIslandFarm,"Family Island™ — Farming game","Casual",TBD
com.king.farmheroessaga,"Farm Heroes Saga","Casual",TBD
com.whalo.games.fishoffortune,"Fish of Fortune™","Casual",TBD
com.playrix.gardenscapes,"Gardenscapes","Casual",TBD
com.iogame.gearworld,"Gear Defenders","Casual",TBD
com.pronetis.ironball2,"Going Balls","Casual",TBD
com.uc.gym.clicker,"Gym Idle Clicker: Fitness Hero","Casual",TBD
com.gamebp.screw3d,"Happy Screw Trip 3D: ASMR","Casual",TBD
com.supercell.hayday,"Hay Day","Casual",TBD
com.playrix.homescapes,"Homescapes","Casual",TBD
com.europe.huntingsniper,"Hunting Sniper","Casual",TBD
com.online.huntingsniper,"Hunting Sniper","Casual",TBD
com.higame.par.idol.prank.video.call.chat.phone.fun,"Idol Prank Video Call & Chat","Casual",TBD
com.Coatsink.IslandersCozyCityBuilder,"ISLANDERS: Mobile","Casual",TBD
com.goolny.Split2048,"Jelly Run 2048","Casual",TBD
com.fashionlink.northstone,"Jigmerge Puzzles","Casual",TBD
com.EagleEyeGames.KeeponMining,"Keep on Mining!","Casual",TBD
com.higame.par.left.and.right.fashion.dressup,"Left or Right: Star Girl Style","Casual",TBD
com.funtomic.matchmasters,"Match Masters","Casual",TBD
com.joycastle.mergematch,"Matching Story - Puzzle Games","Casual",TBD
com.sh.fidget.toys.mini.relaxing.antistress.games,"Mini Relaxing Game- pop it","Casual",TBD
com.sts.vision,"Modern Community","Casual",TBD
com.outfit7.mytalkingangela2,"My Talking Angela 2","Casual",TBD
com.outfit7.mytalkingtom2,"My Talking Tom 2: Pet Game","Casual",TBD
com.outfit7.mytalkingtomfriends,"My Talking Tom Friends","Casual",TBD
com.JindoBlu.OfflineGames,"Offline Games - No Wifi Games","Casual",TBD
com.media720.games2020,"Offline Games No WiFi internet","Casual",TBD
